                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92225,                0.46803,                0.83161,                 0.9904,                 0.9862,                0.99462,                0.80534,                0.76433,                0.37798,                0.81781,                 0.0928,                 0.0008,                 0.0008
                      2,                0.76907,                0.39611,                0.83245,                0.99082,                0.98415,                0.99466,                0.81425,                0.74165,                 0.3948,                0.81932,               0.084683,              0.0016832,              0.0016832
                      3,                0.85662,                0.41013,                0.82848,                0.98647,                0.98057,                0.99399,                0.78663,                0.82589,                0.43154,                0.82895,               0.076549,              0.0025485,              0.0025485
                      4,                0.81396,                0.41398,                0.82099,                0.98513,                0.98215,                0.99282,                0.79202,                 0.8329,                0.40984,                0.82777,               0.068396,               0.003396,               0.003396
                      5,                0.94731,                0.44414,                0.82315,                 0.9825,                0.98415,                0.99383,                0.79495,                0.83012,                0.42608,                 0.8301,               0.060226,              0.0042258,              0.0042258
                      6,                0.88022,                0.43521,                0.83003,                0.98317,                0.98581,                0.99409,                 0.7888,                0.83958,                0.43027,                0.83052,               0.052038,              0.0050376,              0.0050376
                      7,                 0.9787,                0.47391,                0.84146,                0.98722,                0.98732,                0.99459,                0.76793,                0.88964,                0.44138,                0.83529,               0.043832,              0.0058317,              0.0058317
                      8,                0.97414,                0.47097,                0.83063,                0.99122,                0.98517,                0.99466,                0.73424,                 1.0979,                0.50008,                0.85149,               0.035608,               0.006608,               0.006608
                      9,                 1.1662,                0.51845,                0.84793,                0.99176,                0.98504,                0.99397,                0.76475,                0.86384,                0.43447,                0.83856,               0.027366,              0.0073664,              0.0073664
                     10,                 1.2219,                0.53679,                 0.8433,                0.99125,                0.98428,                0.99114,                0.76385,                0.86312,                0.43444,                0.83813,               0.019107,               0.008107,               0.008107
                     11,                 1.1579,                0.52786,                0.86199,                0.99023,                0.98451,                0.99439,                0.68874,                0.99723,                0.52518,                0.84338,                0.01083,              0.0088298,              0.0088298
                     12,                 1.2115,                0.56925,                0.85829,                0.98814,                 0.9797,                 0.9938,                0.68284,                  1.165,                0.54801,                  0.871,               0.008911,               0.008911,               0.008911
                     13,                 1.0747,                0.53335,                0.85847,                0.94471,                0.96728,                0.97158,                0.69391,                0.96185,                0.58468,                 0.8418,               0.008812,               0.008812,               0.008812
                     14,                 1.1812,                0.59525,                0.85079,                0.98377,                0.97444,                0.99029,                0.58839,                 1.3187,                0.69749,                0.88575,               0.008713,               0.008713,               0.008713
                     15,                 1.1487,                0.58551,                0.85401,                0.98921,                0.98458,                0.99372,                0.73004,                0.89335,                0.49604,                0.84325,               0.008614,               0.008614,               0.008614
                     16,                 1.1432,                0.55785,                 0.8581,                0.98503,                 0.9862,                0.99405,                0.61051,                 1.3928,                0.66684,                0.90198,               0.008515,               0.008515,               0.008515
                     17,                 1.0804,                0.52845,                0.85094,                0.98973,                0.98584,                0.99426,                0.76116,                0.86643,                0.47359,                0.85203,               0.008416,               0.008416,               0.008416
                     18,                 1.1745,                0.53945,                0.85868,                0.98923,                0.98582,                0.99435,                0.61321,                 1.3165,                0.60176,                0.88421,               0.008317,               0.008317,               0.008317
                     19,                0.98561,                0.49464,                0.84957,                0.99076,                 0.9862,                0.99423,                0.65126,                 1.2969,                0.57699,                0.88905,               0.008218,               0.008218,               0.008218
                     20,                  1.141,                 0.5108,                0.85394,                0.99288,                0.98722,                0.99455,                0.78584,                 0.8065,                0.44798,                0.84038,               0.008119,               0.008119,               0.008119
                     21,                0.96066,                0.48473,                0.84649,                0.98667,                 0.9862,                0.99402,                0.63079,                 1.1771,                0.59977,                0.87833,                0.00802,                0.00802,                0.00802
                     22,                 1.1085,                0.53139,                0.84031,                0.99186,                0.98773,                0.99458,                0.77081,                0.81961,                0.46959,                   0.84,               0.007921,               0.007921,               0.007921
                     23,                0.99748,                0.50629,                0.84411,                0.98868,                0.98517,                0.99423,                0.73096,                 1.0105,                0.52332,                0.86211,               0.007822,               0.007822,               0.007822
                     24,                 1.0292,                0.51009,                0.83908,                0.99214,                0.98517,                0.99436,                0.74517,                 0.9656,                0.49672,                0.84553,               0.007723,               0.007723,               0.007723
                     25,                0.97453,                0.47751,                0.84796,                 0.9902,                0.98569,                0.99451,                0.75567,                0.91092,                0.46664,                0.85417,               0.007624,               0.007624,               0.007624
                     26,                0.95767,                 0.4778,                0.83217,                0.99019,                0.98211,                 0.9941,                0.77655,                0.91967,                 0.4987,                 0.8341,               0.007525,               0.007525,               0.007525
                     27,                0.96527,                0.48769,                0.83845,                0.98213,                0.98466,                0.99043,                0.78102,                0.86398,                0.46619,                0.82725,               0.007426,               0.007426,               0.007426
                     28,                0.97584,                0.47394,                0.82612,                0.98155,                0.98364,                0.98957,                0.72036,                0.94137,                0.50525,                0.84368,               0.007327,               0.007327,               0.007327
                     29,                0.98143,                0.49617,                0.83056,                0.98149,                0.98415,                0.98898,                0.78474,                0.80968,                0.46533,                0.82191,               0.007228,               0.007228,               0.007228
                     30,                 0.8937,                0.47412,                0.83039,                 0.9729,                0.98006,                0.98696,                0.75262,                 0.8892,                0.52125,                0.82841,               0.007129,               0.007129,               0.007129
                     31,                0.93788,                0.50112,                0.83127,                0.97918,                0.98108,                0.98888,                0.78431,                0.84302,                0.49172,                 0.8189,                0.00703,                0.00703,                0.00703
                     32,                0.91399,                 0.4798,                0.83019,                0.97768,                 0.9816,                0.98857,                0.75783,                0.87792,                0.50061,                0.82855,               0.006931,               0.006931,               0.006931
                     33,                0.88319,                0.46486,                0.82887,                0.97721,                0.98108,                 0.9888,                0.76833,                0.83649,                0.48192,                 0.8265,               0.006832,               0.006832,               0.006832
                     34,                0.91383,                0.46081,                0.83449,                 0.9839,                0.98517,                0.99329,                0.76775,                0.82304,                0.46706,                0.82726,               0.006733,               0.006733,               0.006733
                     35,                0.87102,                0.44148,                0.84086,                0.98874,                 0.9875,                0.99458,                 0.7742,                0.84558,                0.45105,                0.83424,               0.006634,               0.006634,               0.006634
                     36,                0.99278,                0.46382,                0.84059,                0.99303,                 0.9862,                0.99461,                0.80887,                0.78597,                 0.4296,                0.83149,               0.006535,               0.006535,               0.006535
                     37,                0.82529,                0.43077,                0.83577,                0.99481,                0.98926,                0.99491,                0.80683,                0.79965,                0.43094,                0.82833,               0.006436,               0.006436,               0.006436
                     38,                0.94777,                0.46053,                0.82865,                0.99442,                0.98926,                0.99494,                0.78715,                0.83103,                0.40817,                0.83623,               0.006337,               0.006337,               0.006337
                     39,                0.82808,                0.42275,                 0.8276,                0.99507,                0.98978,                0.99494,                0.80032,                0.79828,                0.40904,                0.82951,               0.006238,               0.006238,               0.006238
                     40,                0.87625,                0.42817,                0.82519,                0.99589,                0.99128,                0.99495,                0.76362,                0.93452,                0.43002,                0.84062,               0.006139,               0.006139,               0.006139
                     41,                0.86326,                0.42032,                0.82549,                0.99537,                 0.9888,                0.99489,                0.81352,                0.74226,                0.38683,                0.82612,                0.00604,                0.00604,                0.00604
                     42,                0.82711,                0.41408,                0.82337,                0.99588,                0.98841,                0.99493,                0.77566,                 0.9127,                 0.4291,                0.83669,               0.005941,               0.005941,               0.005941
