                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.393,                0.76849,                  1.188,                0.51839,                0.42541,                0.48797,                0.24712,                 2.2832,                 1.7573,                 1.7893,                 0.0892,                 0.0012,                 0.0012
                      2,                 1.4417,                0.89079,                 1.2022,                0.62765,                0.47561,                0.55718,                  0.285,                 2.1775,                 1.5416,                 1.7397,               0.077418,              0.0024175,              0.0024175
                      3,                 1.2243,                0.72817,                 1.1194,                0.78086,                 0.6289,                0.72036,                0.39386,                 1.9358,                 1.2139,                 1.5901,               0.065549,              0.0035492,              0.0035492
                      4,                 1.2751,                0.70173,                  1.136,                 0.8151,                0.67283,                0.76076,                0.42414,                 1.8842,                 1.0917,                 1.5543,               0.053595,              0.0045951,              0.0045951
                      5,                 1.2729,                0.70406,                 1.0692,                0.84004,                0.71301,                0.79576,                0.45396,                 1.8132,                 1.0052,                 1.5153,               0.041555,              0.0055552,              0.0055552
                      6,                 1.3232,                0.72908,                 1.1487,                0.84788,                 0.7115,                0.80618,                0.46253,                   1.77,                0.98691,                 1.4972,               0.029429,              0.0064295,              0.0064295
                      7,                 1.3501,                0.79343,                 1.1942,                0.84788,                 0.7115,                0.80618,                0.46253,                   1.77,                0.98691,                 1.4972,               0.017218,               0.007218,               0.007218
                      8,                 1.3586,                0.70544,                 1.0783,                0.85899,                0.71192,                0.81074,                 0.4644,                 1.7664,                0.96944,                 1.4904,                0.00769,                0.00769,                0.00769
                      9,                 1.4216,                0.74248,                 1.1651,                0.88464,                0.74625,                0.83382,                 0.5034,                 1.6648,                0.89502,                 1.4023,                0.00736,                0.00736,                0.00736
                     10,                 1.3694,                0.71748,                 1.1652,                0.88464,                0.74625,                0.83382,                 0.5034,                 1.6648,                0.89502,                 1.4023,                0.00703,                0.00703,                0.00703
                     11,                 1.2236,                0.69372,                 1.0796,                0.86566,                0.74612,                0.83246,                0.50189,                 1.6568,                0.93456,                 1.4231,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.2998,                0.71648,                 1.1186,                0.86566,                0.74612,                0.83246,                0.50189,                 1.6568,                0.93456,                 1.4231,                0.00637,                0.00637,                0.00637
                     13,                   1.33,                 0.7374,                 1.1766,                0.89513,                0.76998,                0.84921,                0.53749,                 1.5774,                0.86363,                 1.3513,                0.00604,                0.00604,                0.00604
                     14,                 1.3064,                0.71279,                 1.1127,                0.87949,                 0.7706,                0.84959,                0.52278,                 1.6193,                0.90856,                  1.389,                0.00571,                0.00571,                0.00571
                     15,                 1.3997,                 0.7413,                 1.1842,                0.87949,                 0.7706,                0.84959,                0.52278,                 1.6193,                0.90856,                  1.389,                0.00538,                0.00538,                0.00538
                     16,                 1.3671,                0.74538,                 1.1561,                0.90167,                0.76698,                0.85263,                0.54484,                  1.556,                0.86472,                 1.3404,                0.00505,                0.00505,                0.00505
                     17,                 1.3791,                0.72527,                 1.0877,                0.88029,                0.78721,                0.85601,                0.53538,                 1.5816,                0.88012,                 1.3623,                0.00472,                0.00472,                0.00472
                     18,                 1.2196,                0.68886,                 1.0576,                0.88029,                0.78721,                0.85601,                0.53538,                 1.5816,                0.88012,                 1.3623,                0.00439,                0.00439,                0.00439
                     19,                 1.2528,                0.67838,                 1.1243,                0.90526,                0.76939,                0.85479,                0.55028,                 1.5198,                0.84904,                 1.3223,                0.00406,                0.00406,                0.00406
                     20,                 1.3579,                0.75707,                 1.2057,                0.90526,                0.76939,                0.85479,                0.55028,                 1.5198,                0.84904,                 1.3223,                0.00373,                0.00373,                0.00373
                     21,                 1.3583,                0.80461,                  1.187,                0.88594,                0.78544,                0.85818,                0.55189,                 1.5051,                0.84144,                 1.3162,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2888,                0.72688,                 1.1617,                0.90499,                0.77622,                0.85958,                0.54998,                 1.4886,                0.82966,                 1.3067,                0.00307,                0.00307,                0.00307
                     23,                 1.4183,                0.89706,                  1.319,                0.90499,                0.77622,                0.85958,                0.54998,                 1.4886,                0.82966,                 1.3067,                0.00274,                0.00274,                0.00274
                     24,                 1.3253,                0.77518,                 1.1821,                0.90059,                0.77758,                0.86201,                0.55363,                 1.4757,                0.83846,                 1.3019,                0.00241,                0.00241,                0.00241
                     25,                 1.4378,                0.82113,                 1.2925,                0.90059,                0.77758,                0.86201,                0.55363,                 1.4757,                0.83846,                 1.3019,                0.00208,                0.00208,                0.00208
                     26,                 1.3155,                0.78842,                 1.2257,                0.90344,                0.78371,                 0.8661,                0.55148,                 1.4882,                0.84004,                 1.3104,                0.00175,                0.00175,                0.00175
                     27,                 1.3509,                0.78251,                 1.1864,                0.91011,                0.78121,                0.86762,                 0.5539,                 1.4913,                0.82686,                  1.311,                0.00142,                0.00142,                0.00142
                     28,                 1.2206,                 0.6949,                 1.1649,                0.91011,                0.78121,                0.86762,                 0.5539,                 1.4913,                0.82686,                  1.311,                0.00109,                0.00109,                0.00109
                     29,                 1.3275,                0.74323,                 1.1492,                 0.9097,                0.78683,                0.86772,                0.55849,                 1.4728,                 0.8159,                 1.3016,                0.00076,                0.00076,                0.00076
                     30,                 1.3304,                0.75706,                 1.1822,                0.90791,                0.79078,                0.86956,                 0.5579,                 1.4738,                0.80821,                  1.302,                0.00043,                0.00043,                0.00043
