                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.3802,                 3.3859,                 3.9264,                      0,                      0,                      0,                      0,                  6.348,                 2.8577,                 3.4953,                 0.0793,                 0.0023,                 0.0023
                      2,                 5.5173,                 2.6958,                 3.3956,                      0,                      0,                      0,                      0,                 5.9603,                 2.6323,                 3.1321,               0.057545,              0.0045449,              0.0045449
                      3,                 4.7474,                 2.5131,                 3.0605,                      0,                      0,                      0,                      0,                 5.8091,                 2.5777,                 3.0422,               0.035631,              0.0066314,              0.0066314
                      4,                 3.8978,                 2.2718,                 2.8192,                      0,                      0,                      0,                      0,                 5.5773,                 2.5015,                 2.9296,                0.01356,              0.0085595,              0.0085595
                      5,                 3.6747,                 2.1669,                 2.5133,                      0,                      0,                      0,                      0,                 5.4708,                 2.4565,                  2.897,                0.00868,                0.00868,                0.00868
                      6,                  3.261,                 2.0754,                 2.5137,                  0.226,                0.34663,                0.18397,                 0.0625,                 3.8819,                 2.2378,                 2.3967,                0.00835,                0.00835,                0.00835
                      7,                 3.2704,                 1.9874,                 2.4129,                0.27173,                  0.409,                0.20581,                0.06745,                 2.6239,                 1.8243,                 2.0017,                0.00802,                0.00802,                0.00802
                      8,                 3.1401,                 1.9485,                 2.2922,                 0.2931,                0.44632,                0.23403,                0.06619,                 2.6106,                 1.8152,                 1.9566,                0.00769,                0.00769,                0.00769
                      9,                 3.2485,                 1.8477,                 2.2091,                0.13533,                0.20757,                0.08198,                0.01555,                 2.5523,                 1.9863,                 1.9782,                0.00736,                0.00736,                0.00736
                     10,                 2.8948,                 1.8245,                 2.0542,                0.18232,                0.26789,                0.12286,                 0.0231,                 2.6796,                 2.1323,                 2.0758,                0.00703,                0.00703,                0.00703
                     11,                 2.6611,                 1.9208,                 2.0805,                0.23667,                0.36299,                0.19043,                0.05824,                 2.3815,                 3.0178,                 1.7866,                 0.0067,                 0.0067,                 0.0067
                     12,                  2.865,                 1.7666,                 2.0307,                0.23553,                0.33333,                 0.1691,                0.04556,                 2.4251,                  4.179,                 1.7909,                0.00637,                0.00637,                0.00637
                     13,                 2.6389,                 1.8532,                 2.1233,                0.25367,                0.38906,                0.21459,                0.07784,                 2.3235,                 3.0685,                 1.7714,                0.00604,                0.00604,                0.00604
                     14,                 2.5825,                 1.7165,                 1.8963,                0.30435,                0.44176,                 0.2411,                0.07538,                 2.2294,                 1.7946,                 1.6981,                0.00571,                0.00571,                0.00571
                     15,                 2.4514,                 1.6544,                 1.8553,                0.27627,                 0.4044,                0.21869,                0.07922,                 2.1119,                 2.0927,                 1.6255,                0.00538,                0.00538,                0.00538
                     16,                 2.4752,                 1.6457,                 1.8687,                0.31866,                0.46012,                0.26003,                 0.0979,                 2.2507,                 1.5882,                 1.7145,                0.00505,                0.00505,                0.00505
                     17,                 2.4294,                 1.6153,                 1.8093,                0.32639,                0.47955,                0.29409,                 0.1427,                 1.9337,                 1.7373,                 1.5284,                0.00472,                0.00472,                0.00472
                     18,                 2.4146,                 1.6009,                 1.7568,                  0.322,                0.49387,                0.31204,                0.14033,                 2.0035,                 1.7009,                 1.6163,                0.00439,                0.00439,                0.00439
                     19,                 2.3181,                 1.6351,                 1.8697,                0.20467,                0.31391,                0.16531,                0.06917,                 2.6027,                 3.3264,                 1.8692,                0.00406,                0.00406,                0.00406
                     20,                  2.177,                 1.5822,                   1.81,                0.34397,                0.49489,                0.32989,                0.16392,                 1.9641,                 1.4854,                 1.5716,                0.00373,                0.00373,                0.00373
                     21,                 2.0754,                 1.6295,                  1.762,                0.36472,                0.54294,                0.37058,                0.18286,                 1.8402,                 1.4875,                 1.4962,                 0.0034,                 0.0034,                 0.0034
                     22,                 2.1073,                 1.6416,                 1.7253,                0.36546,                0.52965,                0.36436,                0.18097,                 1.8624,                 1.4869,                 1.4768,                0.00307,                0.00307,                0.00307
                     23,                 2.0952,                 1.6268,                 1.7799,                0.37354,                0.55266,                0.37773,                0.19019,                 1.9328,                 1.5974,                 1.5051,                0.00274,                0.00274,                0.00274
                     24,                 1.9655,                  1.596,                 1.7848,                0.38904,                0.55777,                0.39408,                0.20276,                 1.8254,                  1.445,                 1.4544,                0.00241,                0.00241,                0.00241
                     25,                  1.999,                 1.5762,                 1.7759,                 0.3941,                0.55266,                0.39281,                0.21719,                 1.7551,                 1.4487,                 1.4353,                0.00208,                0.00208,                0.00208
                     26,                  2.095,                 1.6042,                 1.7479,                0.40301,                0.56237,                0.40302,                0.20206,                 1.8497,                 1.5105,                 1.4799,                0.00175,                0.00175,                0.00175
                     27,                 2.0114,                 1.5198,                 1.6235,                0.41188,                0.57822,                0.41411,                0.20533,                 1.8462,                 1.5563,                 1.4746,                0.00142,                0.00142,                0.00142
                     28,                 1.8948,                 1.4922,                 1.6674,                0.42441,                 0.5956,                0.43631,                0.23492,                 1.7708,                 1.5022,                 1.4587,                0.00109,                0.00109,                0.00109
                     29,                 1.9581,                 1.4987,                 1.6476,                0.43477,                0.60174,                0.45271,                0.24413,                 1.7526,                 1.4085,                 1.4411,                0.00076,                0.00076,                0.00076
                     30,                 1.9678,                 1.5093,                 1.6633,                0.44177,                0.59663,                0.46047,                0.25393,                 1.7217,                 1.3865,                 1.4232,                0.00043,                0.00043,                0.00043
