                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1704,                0.56281,                0.86295,                0.96707,                0.96093,                0.98449,                0.73899,                0.96585,                0.46727,                0.85876,                 0.0928,                 0.0008,                 0.0008
                      2,                  1.075,                0.54385,                0.86481,                0.87928,                0.88255,                0.91989,                0.67265,                 1.0562,                0.53965,                 0.8794,               0.084683,              0.0016832,              0.0016832
                      3,                 1.1318,                0.54407,                0.85729,                 0.6749,                0.74188,                0.62022,                0.35141,                 1.5987,                 1.5577,                0.97161,               0.076549,              0.0025485,              0.0025485
                      4,                 1.0731,                0.53449,                0.85557,                0.25575,                0.37065,                0.17127,                0.09774,                  1.443,                 2.7575,                0.96031,               0.068396,               0.003396,               0.003396
                      5,                 1.1338,                0.53535,                0.84475,                0.42304,                0.56391,                0.33011,                 0.2098,                  1.276,                 1.5141,                 0.9215,               0.060226,              0.0042258,              0.0042258
                      6,                 1.0293,                0.52681,                0.84964,                0.61655,                0.79821,                0.57309,                0.41127,                  1.024,                0.90591,                0.87166,               0.052038,              0.0050376,              0.0050376
                      7,                 1.0536,                0.52966,                0.85857,                0.10392,                0.15849,                0.06255,                0.02573,                    nan,                    nan,                    nan,               0.043832,              0.0058317,              0.0058317
                      8,                 1.0172,                0.52103,                0.84374,                0.05467,                0.08384,                0.03245,                0.01162,                    nan,                    nan,                    nan,               0.035608,               0.006608,               0.006608
                      9,                 1.1619,                0.56057,                0.85665,                0.00267,                0.00409,                0.00134,                0.00062,                    nan,                    nan,                    nan,               0.027366,              0.0073664,              0.0073664
                     10,                 1.0793,                0.52368,                0.83723,                  0.021,                0.03221,                0.01087,                 0.0051,                    nan,                    nan,                    nan,               0.019107,               0.008107,               0.008107
                     11,                0.95556,                0.52369,                0.84758,                0.12133,                0.18609,                0.07348,                0.02821,                    nan,                    nan,                    nan,                0.01083,              0.0088298,              0.0088298
                     12,                0.97514,                0.48687,                0.83363,                 0.3189,                0.42996,                0.22435,                0.10604,                 2.3715,                 2.3503,                 1.2586,               0.008911,               0.008911,               0.008911
                     13,                0.98832,                  0.506,                0.85302,                0.75041,                0.74949,                0.81553,                0.45439,                 1.7673,                0.95267,                 1.0467,               0.008812,               0.008812,               0.008812
                     14,                 1.0227,                0.51204,                0.84157,                0.95446,                0.94632,                0.97489,                0.69824,                 1.0786,                0.53134,                0.89594,               0.008713,               0.008713,               0.008713
                     15,                 1.1267,                0.52628,                0.85406,                0.88745,                0.84816,                0.91426,                0.61495,                 1.2741,                0.71114,                0.93048,               0.008614,               0.008614,               0.008614
                     16,                 1.0652,                0.50776,                0.85047,                0.87968,                0.79986,                0.88839,                0.59146,                 1.3031,                0.80422,                0.94093,               0.008515,               0.008515,               0.008515
                     17,                 1.2126,                0.56144,                0.87015,                 0.9025,                 0.8727,                0.93809,                0.44871,                 1.9188,                0.76633,                 1.0435,               0.008416,               0.008416,               0.008416
                     18,                 1.1478,                0.55958,                0.85787,                0.95262,                0.95587,                0.98348,                0.60878,                 1.3704,                0.65761,                0.91516,               0.008317,               0.008317,               0.008317
                     19,                  1.171,                0.56746,                0.86829,                   0.84,                0.61198,                0.77116,                0.44756,                 1.6321,                 1.4911,                  1.009,               0.008218,               0.008218,               0.008218
                     20,                 1.1116,                 0.5474,                0.85541,                 0.4512,                0.39468,                0.43042,                0.19574,                 2.3921,                 3.7906,                 1.1704,               0.008119,               0.008119,               0.008119
