                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93804,                0.46035,                0.83303,                0.90206,                0.95194,                0.96381,                0.57387,                 1.3653,                0.73798,                0.91573,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.0481,                0.52224,                0.85478,                0.98708,                0.97657,                0.98906,                0.74355,                0.93728,                0.49652,                0.85253,               0.091891,             0.00089109,             0.00089109
                      3,                0.95864,                0.46468,                0.83511,                0.58798,                0.15286,                0.22711,                0.10936,                 3.1964,                  2.376,                 1.5067,               0.087372,              0.0013723,              0.0013723
                      4,                0.85462,                 0.4417,                 0.8274,                0.32792,                0.06033,                0.07185,                0.03761,                 3.5956,                 1.6741,                 1.8449,               0.082844,              0.0018436,              0.0018436
                      5,                0.94802,                0.43054,                0.82806,                0.62265,                0.29525,                0.35393,                0.17851,                  2.661,                 1.1969,                 1.3468,               0.078305,               0.002305,               0.002305
                      6,                0.89586,                0.43582,                0.83463,                0.38247,                0.30879,                0.29538,                0.15944,                    nan,                    nan,                    nan,               0.073756,              0.0027564,              0.0027564
                      7,                0.89755,                0.43457,                 0.8366,                0.09863,                0.14622,                0.06675,                0.04271,                    nan,                    nan,                    nan,               0.069198,               0.003198,               0.003198
                      8,                0.86644,                0.42822,                 0.8262,                 0.0683,                0.09611,                 0.0387,                0.02674,                    nan,                    nan,                    nan,                0.06463,              0.0036297,              0.0036297
                      9,                0.95666,                0.45465,                0.83056,                0.17819,                0.24029,                 0.1353,                0.08239,                 3.2998,                 1.6919,                 3.3752,               0.060052,              0.0040515,              0.0040515
                     10,                0.93967,                0.42748,                0.82076,                0.75404,                0.55624,                0.66657,                0.43241,                 1.7062,                0.76551,                 1.1345,               0.055463,              0.0044634,              0.0044634
                     11,                0.81917,                 0.4223,                0.82362,                0.88268,                0.78856,                0.88012,                0.62348,                 1.2014,                 0.6015,                0.93627,               0.050865,              0.0048654,              0.0048654
                     12,                0.86744,                0.41692,                0.82044,                0.92776,                0.72878,                0.86078,                0.60978,                  1.255,                0.58329,                0.96746,               0.046257,              0.0052575,              0.0052575
                     13,                0.87248,                0.43059,                0.83375,                0.96286,                0.95442,                0.98443,                0.75486,                0.91283,                0.47503,                0.86277,                0.04164,              0.0056397,              0.0056397
                     14,                0.82816,                0.40848,                0.81672,                0.97155,                0.96626,                 0.9875,                0.76217,                 0.8791,                0.44026,                0.84817,               0.037012,               0.006012,               0.006012
                     15,                0.85384,                0.41123,                0.82293,                0.94291,                0.76585,                0.87105,                  0.657,                    nan,                    nan,                    nan,               0.032374,              0.0063744,              0.0063744
                     16,                0.87106,                0.42861,                0.82023,                0.69146,                 0.1999,                0.26506,                0.19139,                    nan,                    nan,                    nan,               0.027727,              0.0067268,              0.0067268
                     17,                 0.8209,                0.41809,                0.81211,                0.14961,                0.16973,                0.07729,                0.04413,                    nan,                    nan,                    nan,               0.023069,              0.0070694,              0.0070694
                     18,                0.84568,                0.41276,                0.81891,                0.20296,                0.17229,                0.10012,                0.05817,                    nan,                    nan,                    nan,               0.018402,              0.0074021,              0.0074021
                     19,                 0.8291,                0.41645,                 0.8222,                0.14006,                0.14008,                0.07359,                0.03735,                    nan,                    nan,                    nan,               0.013725,              0.0077249,              0.0077249
                     20,                0.99339,                0.43833,                0.83538,                0.14006,                0.14008,                0.07359,                0.03735,                    nan,                    nan,                    nan,              0.0090378,              0.0080378,              0.0080378
                     21,                0.87446,                0.42959,                0.81965,                0.14006,                0.14008,                0.07359,                0.03735,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     22,                0.97472,                 0.4505,                0.82844,                0.61497,                0.74472,                0.52369,                0.39562,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     23,                0.90018,                0.43179,                 0.8224,                0.98821,                0.98547,                0.99398,                0.71174,                 1.0932,                 0.4829,                0.86389,               0.007822,               0.007822,               0.007822
                     24,                0.94124,                0.44065,                0.83055,                0.97019,                0.88957,                0.93107,                0.73978,                0.88056,                0.65737,                0.84757,               0.007723,               0.007723,               0.007723
                     25,                0.88838,                0.42512,                0.82446,                 0.9064,                0.72137,                0.76191,                0.58853,                0.90277,                 0.7551,                0.84561,               0.007624,               0.007624,               0.007624
                     26,                0.87877,                0.40969,                0.81841,                0.86704,                0.64877,                0.68371,                0.50171,                0.98928,                0.82705,                0.85958,               0.007525,               0.007525,               0.007525
                     27,                0.90543,                0.42004,                0.83094,                  0.902,                0.53119,                0.62094,                0.43331,                 1.2045,                0.93401,                0.89341,               0.007426,               0.007426,               0.007426
