                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6921,                0.43004,                0.86447,                0.98583,                0.97871,                0.99159,                0.83474,                0.70906,                 0.3298,                0.87762,                 0.0946,                 0.0006,                 0.0006
                      2,                0.66137,                0.39587,                0.86135,                0.98897,                0.97243,                0.98881,                0.84188,                0.66118,                 0.3285,                0.86276,               0.088287,              0.0012871,              0.0012871
                      3,                0.61382,                0.34652,                0.84307,                0.98456,                 0.9678,                0.98715,                0.84767,                0.64916,                0.33078,                0.86254,                0.08196,              0.0019604,              0.0019604
                      4,                0.63637,                0.35227,                0.85874,                0.98524,                0.97354,                 0.9927,                0.83498,                0.70575,                0.33672,                0.87931,                0.07562,              0.0026198,              0.0026198
                      5,                0.61788,                0.32506,                0.85808,                0.98575,                0.96833,                 0.9899,                0.81788,                0.76532,                0.35847,                0.90019,               0.069265,              0.0032654,              0.0032654
                      6,                0.63844,                0.33982,                0.84007,                0.98768,                0.97142,                0.99064,                0.83624,                0.68696,                 0.3371,                0.86799,               0.062897,               0.003897,               0.003897
                      7,                 0.6313,                0.33325,                0.83128,                0.98768,                0.97142,                0.99064,                0.83624,                0.68696,                 0.3371,                0.86799,               0.056515,              0.0045149,              0.0045149
                      8,                0.67041,                 0.3389,                0.86083,                 0.9837,                0.96925,                0.98966,                0.80072,                0.80196,                0.36625,                0.90731,               0.050119,              0.0051188,              0.0051188
                      9,                0.68243,                0.34124,                 0.8913,                0.98145,                0.97043,                0.98948,                0.80276,                0.78648,                0.37379,                0.89688,               0.043709,               0.005709,               0.005709
                     10,                0.66854,                0.33596,                0.85421,                0.98145,                0.97043,                0.98948,                0.80276,                0.78648,                0.37379,                0.89688,               0.037285,              0.0062852,              0.0062852
                     11,                 0.7892,                0.37873,                0.85475,                0.98559,                0.97101,                0.98925,                0.80436,                0.77189,                0.37138,                0.89015,               0.030848,              0.0068476,              0.0068476
                     12,                0.76323,                0.36958,                0.86792,                0.98559,                0.97101,                0.98925,                0.80436,                0.77189,                0.37138,                0.89015,               0.024396,              0.0073961,              0.0073961
                     13,                0.77843,                0.37636,                 0.8833,                0.98106,                0.96176,                0.98559,                0.76593,                0.91579,                0.42011,                0.93578,               0.017931,              0.0079308,              0.0079308
                     14,                0.77102,                0.37351,                0.86165,                0.98106,                0.96176,                0.98559,                0.76593,                0.91579,                0.42011,                0.93578,               0.011452,              0.0084516,              0.0084516
                     15,                0.76719,                0.36921,                0.87269,                0.97702,                0.96649,                0.98643,                0.74863,                0.98151,                0.41042,                0.96142,               0.008614,               0.008614,               0.008614
                     16,                0.80206,                0.38651,                0.88387,                0.97702,                0.96649,                0.98643,                0.74863,                0.98151,                0.41042,                0.96142,               0.008515,               0.008515,               0.008515
                     17,                0.79314,                0.37536,                0.89848,                0.98266,                0.94973,                0.97973,                0.80064,                0.78869,                0.39622,                0.89666,               0.008416,               0.008416,               0.008416
                     18,                0.68901,                0.36076,                0.85931,                0.98266,                0.94973,                0.97973,                0.80064,                0.78869,                0.39622,                0.89666,               0.008317,               0.008317,               0.008317
                     19,                0.71639,                0.36263,                0.84832,                0.98266,                0.94973,                0.97973,                0.80064,                0.78869,                0.39622,                0.89666,               0.008218,               0.008218,               0.008218
                     20,                0.74725,                0.37018,                0.91335,                0.98031,                0.97319,                0.98947,                0.76758,                0.92844,                0.38902,                0.94521,               0.008119,               0.008119,               0.008119
                     21,                0.77967,                0.38306,                0.86455,                0.98031,                0.97319,                0.98947,                0.76758,                0.92844,                0.38902,                0.94521,                0.00802,                0.00802,                0.00802
                     22,                0.72844,                0.35656,                 0.8773,                0.97891,                0.96048,                0.98746,                0.80963,                0.79148,                0.37853,                0.90127,               0.007921,               0.007921,               0.007921
                     23,                0.74809,                0.36018,                0.86553,                0.97891,                0.96048,                0.98746,                0.80963,                0.79148,                0.37853,                0.90127,               0.007822,               0.007822,               0.007822
                     24,                0.78713,                0.37293,                0.84643,                0.98297,                0.92157,                0.95751,                0.75377,                0.88656,                0.43715,                0.93029,               0.007723,               0.007723,               0.007723
                     25,                0.68953,                0.34373,                0.87029,                0.98297,                0.92157,                0.95751,                0.75377,                0.88656,                0.43715,                0.93029,               0.007624,               0.007624,               0.007624
                     26,                0.71585,                0.35622,                 0.8579,                0.97824,                0.93046,                0.96778,                0.80097,                0.76245,                0.41451,                0.89216,               0.007525,               0.007525,               0.007525
                     27,                0.70322,                0.35193,                0.89165,                0.97824,                0.93046,                0.96778,                0.80097,                0.76245,                0.41451,                0.89216,               0.007426,               0.007426,               0.007426
                     28,                0.70299,                0.34538,                0.87575,                0.97824,                0.93046,                0.96778,                0.80097,                0.76245,                0.41451,                0.89216,               0.007327,               0.007327,               0.007327
                     29,                0.66455,                0.35454,                0.85006,                0.98433,                0.94126,                0.97585,                0.78294,                0.82741,                 0.4176,                0.90858,               0.007228,               0.007228,               0.007228
                     30,                0.65459,                 0.3469,                0.85397,                0.98433,                0.94126,                0.97585,                0.78294,                0.82741,                 0.4176,                0.90858,               0.007129,               0.007129,               0.007129
                     31,                0.65939,                 0.3613,                0.85277,                0.96764,                0.94855,                0.98373,                 0.8258,                0.70034,                0.38415,                0.87556,                0.00703,                0.00703,                0.00703
                     32,                 0.6622,                 0.3581,                0.84665,                0.96764,                0.94855,                0.98373,                 0.8258,                0.70034,                0.38415,                0.87556,               0.006931,               0.006931,               0.006931
                     33,                0.67367,                0.37016,                 0.8586,                0.98336,                0.96693,                0.98963,                0.80849,                0.77712,                0.37325,                0.89191,               0.006832,               0.006832,               0.006832
                     34,                0.67662,                0.35865,                0.86615,                0.98336,                0.96693,                0.98963,                0.80849,                0.77712,                0.37325,                0.89191,               0.006733,               0.006733,               0.006733
                     35,                0.65908,                0.34364,                0.85729,                0.98336,                0.96693,                0.98963,                0.80849,                0.77712,                0.37325,                0.89191,               0.006634,               0.006634,               0.006634
                     36,                 0.6336,                0.33258,                0.85773,                0.97109,                0.96688,                0.98788,                0.83056,                 0.6977,                0.35752,                0.87445,               0.006535,               0.006535,               0.006535
                     37,                 0.6139,                0.32832,                0.84017,                0.97109,                0.96688,                0.98788,                0.83056,                 0.6977,                0.35752,                0.87445,               0.006436,               0.006436,               0.006436
                     38,                0.64528,                0.33842,                0.85433,                0.98279,                0.96825,                0.99069,                0.81366,                0.78335,                0.37013,                0.89514,               0.006337,               0.006337,               0.006337
                     39,                0.66605,                0.33967,                0.85922,                0.98279,                0.96825,                0.99069,                0.81366,                0.78335,                0.37013,                0.89514,               0.006238,               0.006238,               0.006238
                     40,                0.65189,                0.34184,                0.82705,                 0.9875,                0.96556,                0.98968,                0.84035,                0.67171,                0.33581,                0.86654,               0.006139,               0.006139,               0.006139
                     41,                0.64256,                0.33534,                0.83729,                 0.9875,                0.96556,                0.98968,                0.84035,                0.67171,                0.33581,                0.86654,                0.00604,                0.00604,                0.00604
                     42,                0.60554,                0.31684,                0.84139,                0.98617,                 0.9657,                0.98896,                0.81993,                0.76239,                0.36419,                0.88779,               0.005941,               0.005941,               0.005941
                     43,                 0.6672,                0.34332,                0.84509,                0.98617,                 0.9657,                0.98896,                0.81993,                0.76239,                0.36419,                0.88779,               0.005842,               0.005842,               0.005842
                     44,                0.65424,                0.34225,                0.85261,                0.98617,                 0.9657,                0.98896,                0.81993,                0.76239,                0.36419,                0.88779,               0.005743,               0.005743,               0.005743
                     45,                0.60676,                0.31598,                0.84357,                 0.9847,                0.97378,                0.99031,                0.84029,                0.67875,                0.32726,                0.86923,               0.005644,               0.005644,               0.005644
                     46,                0.59402,                0.30998,                0.85798,                 0.9847,                0.97378,                0.99031,                0.84029,                0.67875,                0.32726,                0.86923,               0.005545,               0.005545,               0.005545
                     47,                0.61142,                0.31615,                0.84195,                  0.987,                  0.973,                0.99149,                0.82862,                 0.7356,                0.34199,                0.87963,               0.005446,               0.005446,               0.005446
