                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79317,                0.37419,                0.81535,                0.99234,                0.99302,                0.99493,                0.85137,                0.62366,                0.30717,                0.79824,                 0.0928,                 0.0008,                 0.0008
                      2,                0.80186,                0.37721,                0.81556,                0.99229,                0.99029,                0.99488,                0.84604,                0.66374,                0.33223,                0.80123,               0.084683,              0.0016832,              0.0016832
                      3,                0.81075,                0.38003,                 0.8098,                0.99014,                0.99029,                0.99485,                0.83169,                0.70436,                0.35635,                0.80453,               0.076549,              0.0025485,              0.0025485
                      4,                0.81191,                0.38826,                0.81092,                0.99131,                0.99096,                0.99487,                0.83247,                0.73245,                0.37194,                0.80704,               0.068396,               0.003396,               0.003396
                      5,                0.89521,                0.41643,                  0.813,                0.99386,                0.99301,                0.99494,                0.83701,                0.70923,                0.39327,                0.80162,               0.060226,              0.0042258,              0.0042258
                      6,                0.86099,                0.42122,                0.81525,                0.99794,                0.99115,                0.99498,                0.82945,                0.71266,                0.39664,                0.80198,               0.052038,              0.0050376,              0.0050376
                      7,                0.85434,                0.42508,                0.80889,                0.99663,                0.99387,                0.99497,                0.80952,                0.78927,                0.43793,                0.80751,               0.043832,              0.0058317,              0.0058317
                      8,                0.91708,                0.44049,                0.81717,                 0.9959,                0.99302,                0.99494,                0.82806,                0.72548,                0.38878,                0.80968,               0.035608,               0.006608,               0.006608
                      9,                0.92836,                0.42628,                0.82639,                0.99691,                0.99093,                0.99496,                0.74868,                0.98054,                 0.4285,                0.82939,               0.027366,              0.0073664,              0.0073664
                     10,                0.98696,                0.43309,                0.83055,                0.99537,                   0.99,                0.99487,                0.74087,                 1.0014,                0.43214,                0.83758,               0.019107,               0.008107,               0.008107
                     11,                 1.0034,                  0.443,                0.82584,                0.99116,                0.99029,                0.99476,                0.74975,                0.96719,                0.44232,                0.83445,                0.01083,              0.0088298,              0.0088298
                     12,                  1.046,                0.46744,                0.83355,                0.98881,                0.99418,                 0.9947,                0.80693,                0.75551,                0.39246,                0.82062,               0.008911,               0.008911,               0.008911
                     13,                0.99102,                0.46163,                0.82932,                0.99488,                0.99313,                0.99494,                0.78514,                0.83844,                0.43079,                0.82481,               0.008812,               0.008812,               0.008812
                     14,                0.99915,                0.46417,                0.83053,                0.99536,                0.99182,                0.99495,                0.77735,                0.87767,                0.43564,                0.82198,               0.008713,               0.008713,               0.008713
                     15,                 1.0038,                0.45678,                0.82953,                0.99807,                0.99182,                0.99493,                0.81366,                0.78905,                0.40468,                0.81192,               0.008614,               0.008614,               0.008614
                     16,                0.99747,                0.44679,                0.83169,                0.99556,                0.99284,                0.99495,                0.78475,                 0.8937,                0.41796,                0.83278,               0.008515,               0.008515,               0.008515
                     17,                0.96308,                0.44126,                0.83453,                0.99386,                0.99308,                0.99496,                0.79129,                0.85359,                0.41959,                0.82781,               0.008416,               0.008416,               0.008416
                     18,                0.97137,                0.44907,                0.82652,                0.99334,                0.99055,                0.99488,                0.80245,                0.82854,                0.43454,                0.82858,               0.008317,               0.008317,               0.008317
                     19,                0.94233,                0.44612,                0.82734,                 0.9952,                0.99131,                0.99493,                0.76943,                0.91092,                0.41678,                0.83548,               0.008218,               0.008218,               0.008218
                     20,                0.94107,                 0.4455,                 0.8224,                0.99738,                0.99182,                0.99491,                0.83638,                0.71038,                0.37627,                0.81196,               0.008119,               0.008119,               0.008119
                     21,                0.92307,                0.43877,                0.82975,                0.99641,                0.99318,                0.99496,                0.83779,                0.70056,                0.36991,                0.80988,                0.00802,                0.00802,                0.00802
                     22,                0.94131,                0.43559,                0.82463,                0.99517,                0.99438,                0.99497,                0.84158,                0.68486,                0.38378,                0.80947,               0.007921,               0.007921,               0.007921
                     23,                0.93324,                0.43516,                0.82735,                0.99427,                0.99335,                0.99487,                0.82976,                 0.6918,                0.38715,                0.81132,               0.007822,               0.007822,               0.007822
                     24,                0.95169,                0.43871,                0.82071,                0.99251,                0.99182,                0.99481,                0.78797,                0.87497,                0.43698,                0.82471,               0.007723,               0.007723,               0.007723
                     25,                 0.9357,                0.43969,                0.81949,                0.99522,                0.99233,                0.99489,                 0.7823,                0.88631,                0.40965,                0.82652,               0.007624,               0.007624,               0.007624
                     26,                0.89893,                0.42036,                0.82513,                0.99692,                0.99332,                0.99494,                0.80179,                0.80266,                 0.3927,                0.81936,               0.007525,               0.007525,               0.007525
                     27,                0.89557,                0.42817,                0.82366,                0.99578,                0.99233,                0.99495,                0.81961,                0.73663,                0.38334,                0.81559,               0.007426,               0.007426,               0.007426
                     28,                0.88178,                0.43399,                 0.8206,                0.99589,                0.99068,                0.99493,                0.81716,                0.73457,                0.40907,                0.81364,               0.007327,               0.007327,               0.007327
                     29,                0.87495,                  0.435,                0.82187,                0.99674,                0.99387,                0.99496,                0.83894,                0.67545,                0.37332,                0.81001,               0.007228,               0.007228,               0.007228
                     30,                0.87353,                0.41948,                0.82555,                 0.9964,                0.99188,                0.99498,                0.84419,                0.69821,                0.36583,                0.81107,               0.007129,               0.007129,               0.007129
                     31,                0.85108,                0.40029,                 0.8205,                0.99603,                0.99182,                0.99496,                0.84398,                0.67325,                0.36483,                0.80971,                0.00703,                0.00703,                0.00703
                     32,                0.87145,                0.40674,                  0.823,                0.99436,                0.99177,                0.99495,                0.80227,                0.84588,                0.40833,                0.82451,               0.006931,               0.006931,               0.006931
                     33,                0.83489,                0.40556,                0.81822,                0.99436,                0.99156,                0.99494,                0.79868,                0.84797,                0.39716,                 0.8257,               0.006832,               0.006832,               0.006832
                     34,                0.84801,                0.39651,                0.81815,                0.99436,                0.99106,                0.99495,                0.79459,                0.84104,                0.38985,                0.82593,               0.006733,               0.006733,               0.006733
                     35,                0.83421,                0.39238,                 0.8176,                0.99474,                0.99131,                0.99494,                0.79477,                0.82462,                 0.3808,                0.82368,               0.006634,               0.006634,               0.006634
                     36,                 0.8344,                0.39657,                0.81259,                0.99538,                0.99225,                0.99497,                0.85289,                0.63292,                0.34139,                0.80455,               0.006535,               0.006535,               0.006535
                     37,                0.82596,                0.39023,                0.81658,                 0.9959,                0.99334,                0.99498,                0.85294,                0.63699,                0.34617,                0.80651,               0.006436,               0.006436,               0.006436
                     38,                0.82679,                0.38848,                0.81726,                 0.9959,                0.99308,                0.99498,                0.83953,                0.68133,                0.34761,                0.81238,               0.006337,               0.006337,               0.006337
                     39,                0.84033,                0.39582,                0.81082,                 0.9959,                0.99349,                0.99498,                0.84063,                0.66049,                0.36021,                 0.8086,               0.006238,               0.006238,               0.006238
                     40,                0.81026,                0.40737,                0.81033,                0.99386,                0.99242,                0.99493,                0.80911,                0.80022,                0.39317,                0.82153,               0.006139,               0.006139,               0.006139
                     41,                0.82422,                0.39599,                0.81207,                0.99488,                0.99266,                0.99494,                0.80187,                0.83199,                0.38959,                0.82139,                0.00604,                0.00604,                0.00604
                     42,                0.78089,                0.38158,                0.81498,                0.99433,                0.99284,                0.99494,                0.79286,                0.89175,                0.40537,                0.82604,               0.005941,               0.005941,               0.005941
                     43,                0.79713,                0.37987,                0.81632,                0.99409,                0.99284,                0.99494,                0.80483,                0.85048,                0.39521,                 0.8205,               0.005842,               0.005842,               0.005842
                     44,                  0.799,                0.38742,                0.81051,                0.99536,                0.99233,                0.99495,                0.85528,                0.61663,                0.33955,                0.80538,               0.005743,               0.005743,               0.005743
                     45,                0.79664,                 0.3809,                0.81571,                0.99538,                0.99204,                0.99496,                0.85057,                0.64698,                0.33444,                0.80827,               0.005644,               0.005644,               0.005644
                     46,                0.80872,                0.38172,                0.80799,                0.99487,                0.99151,                0.99495,                0.85148,                0.62679,                0.34091,                0.80667,               0.005545,               0.005545,               0.005545
                     47,                0.81382,                0.39031,                0.81256,                0.99538,                0.99209,                0.99496,                0.84423,                0.64526,                0.34691,                0.80745,               0.005446,               0.005446,               0.005446
                     48,                0.77495,                0.38724,                0.80754,                0.99462,                0.99182,                0.99496,                0.82692,                0.75216,                0.38023,                0.81359,               0.005347,               0.005347,               0.005347
                     49,                0.78346,                0.38452,                 0.8141,                0.99389,                0.99233,                0.99496,                 0.8235,                0.74913,                0.36177,                0.81409,               0.005248,               0.005248,               0.005248
