                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1856,                   2.31,                 1.5214,                0.69172,                0.73762,                 0.7543,                0.42933,                 1.5646,                 1.4651,                  1.289,                 0.0784,                 0.0024,                 0.0024
                      2,                 1.2401,                0.97266,                 1.0816,                  0.922,                0.90389,                0.95577,                0.69864,                 1.0449,                0.96219,                 1.0348,               0.055851,              0.0048515,              0.0048515
                      3,                 1.1217,                0.74647,                 1.0114,                0.94805,                0.94225,                0.97903,                0.71715,                 1.0026,                0.61513,                 1.0144,               0.033253,              0.0072535,              0.0072535
                      4,                  1.094,                0.74306,                  1.012,                0.96179,                0.95237,                0.98212,                0.71398,                  1.056,                0.62758,                 1.0357,               0.010606,               0.009606,               0.009606
                      5,                 1.1889,                0.90678,                 1.0072,                0.97017,                0.96779,                0.98941,                0.76031,                  0.929,                0.53204,                0.97926,               0.009604,               0.009604,               0.009604
                      6,                 1.2412,                 0.7153,                 1.0033,                0.97641,                0.96933,                0.99006,                0.74739,                0.99226,                0.50251,                  1.006,               0.009505,               0.009505,               0.009505
                      7,                 1.1651,                 0.6261,                 1.0274,                0.98233,                0.96636,                0.99042,                0.78482,                 0.8365,                0.48657,                0.95617,               0.009406,               0.009406,               0.009406
                      8,                 1.1938,                0.63449,                 1.0465,                0.96713,                 0.9627,                0.98858,                0.76284,                0.91144,                0.52079,                0.97594,               0.009307,               0.009307,               0.009307
                      9,                 1.1082,                0.57337,                 1.0091,                0.96809,                0.95501,                0.98762,                0.77809,                0.82293,                0.45656,                0.94482,               0.009208,               0.009208,               0.009208
                     10,                 1.1006,                0.55482,                0.98781,                0.97897,                0.97597,                0.99282,                0.78965,                0.80217,                0.43213,                0.93941,               0.009109,               0.009109,               0.009109
                     11,                 1.0416,                0.62007,                0.98825,                0.98501,                0.97448,                0.99369,                0.80615,                0.76612,                0.50655,                0.92272,                0.00901,                0.00901,                0.00901
                     12,                0.90358,                0.67232,                0.93692,                0.98077,                0.96462,                0.99022,                0.80893,                 0.7527,                0.55229,                0.92021,               0.008911,               0.008911,               0.008911
                     13,                0.95004,                0.62696,                0.94431,                0.98428,                0.98108,                0.99373,                0.79969,                0.78618,                0.49368,                0.92628,               0.008812,               0.008812,               0.008812
                     14,                0.98599,                0.56752,                0.92883,                0.98376,                0.97086,                0.99356,                0.77477,                0.85522,                0.48312,                0.95088,               0.008713,               0.008713,               0.008713
                     15,                0.93929,                0.53828,                0.94951,                0.99008,                0.97597,                0.99405,                 0.7617,                0.96384,                0.51695,                0.98759,               0.008614,               0.008614,               0.008614
                     16,                   0.93,                0.52635,                0.93883,                 0.9524,                0.94111,                0.97953,                0.73793,                0.98486,                0.60013,                0.99451,               0.008515,               0.008515,               0.008515
                     17,                0.93713,                0.49514,                0.94525,                0.97263,                0.96295,                0.99064,                0.75587,                0.93386,                0.47119,                0.97029,               0.008416,               0.008416,               0.008416
                     18,                0.90238,                0.50824,                0.94274,                0.98423,                0.98313,                0.99432,                0.77567,                0.88058,                0.55409,                0.95123,               0.008317,               0.008317,               0.008317
                     19,                 0.8561,                0.52742,                0.92185,                0.98926,                0.98933,                0.99473,                0.82665,                0.70982,                0.41404,                0.89897,               0.008218,               0.008218,               0.008218
                     20,                0.90702,                0.47981,                0.92995,                0.99227,                0.98875,                0.99482,                0.83055,                0.71142,                0.36716,                0.89997,               0.008119,               0.008119,               0.008119
                     21,                0.87744,                0.45594,                0.91334,                0.99332,                0.98864,                0.99485,                0.81351,                0.73345,                0.36217,                0.90524,                0.00802,                0.00802,                0.00802
                     22,                 0.8779,                0.43795,                0.93114,                0.98989,                0.99233,                0.99479,                0.82557,                0.70195,                   0.35,                0.89688,               0.007921,               0.007921,               0.007921
                     23,                0.87153,                0.43043,                0.92188,                0.99253,                0.98926,                 0.9948,                 0.8164,                0.73011,                0.35526,                0.90257,               0.007822,               0.007822,               0.007822
                     24,                0.86501,                0.44249,                0.91898,                 0.9917,                0.98978,                0.99483,                0.79213,                 0.8208,                0.36486,                0.93219,               0.007723,               0.007723,               0.007723
                     25,                0.83893,                0.41539,                0.90861,                0.98162,                0.99029,                0.99451,                0.82357,                0.72377,                0.35792,                0.90458,               0.007624,               0.007624,               0.007624
                     26,                 0.8454,                0.42649,                0.91235,                0.99124,                0.98331,                0.99462,                0.79814,                0.80239,                 0.3745,                0.93307,               0.007525,               0.007525,               0.007525
                     27,                0.83371,                0.43347,                0.89195,                0.99226,                0.99182,                0.99491,                0.83031,                0.70493,                0.34684,                0.89769,               0.007426,               0.007426,               0.007426
                     28,                0.80184,                 0.4248,                0.90406,                0.99378,                 0.9908,                0.99475,                0.81756,                0.78366,                0.38684,                0.91559,               0.007327,               0.007327,               0.007327
                     29,                0.84689,                0.43933,                0.90127,                0.99538,                0.98824,                 0.9948,                0.83602,                0.68085,                0.34673,                0.88789,               0.007228,               0.007228,               0.007228
                     30,                0.81004,                0.43647,                0.90661,                0.99131,                0.99158,                0.99479,                0.83967,                0.69273,                 0.3768,                0.88911,               0.007129,               0.007129,               0.007129
                     31,                0.78969,                 0.4111,                0.90671,                0.99233,                0.99178,                 0.9948,                0.82231,                0.74002,                0.36901,                0.90177,                0.00703,                0.00703,                0.00703
                     32,                 0.7833,                0.40101,                0.88901,                0.99257,                 0.9908,                 0.9948,                0.82842,                0.69162,                0.33544,                0.88904,               0.006931,               0.006931,               0.006931
                     33,                0.78402,                0.39662,                 0.9072,                0.99283,                0.99146,                 0.9948,                0.84281,                0.68279,                0.32645,                0.88789,               0.006832,               0.006832,               0.006832
                     34,                0.77542,                0.38464,                0.88967,                0.99335,                0.99216,                0.99489,                0.85378,                 0.6291,                0.31782,                0.87347,               0.006733,               0.006733,               0.006733
                     35,                0.74843,                 0.3733,                0.88516,                0.99201,                0.99489,                 0.9949,                 0.8476,                 0.6496,                0.30629,                0.87858,               0.006634,               0.006634,               0.006634
                     36,                0.74051,                0.37203,                0.87901,                0.99387,                0.99454,                0.99495,                0.86365,                0.59915,                0.30178,                0.86408,               0.006535,               0.006535,               0.006535
                     37,                0.75148,                0.38668,                0.87057,                0.99335,                0.99335,                0.99478,                 0.8601,                0.59917,                0.31617,                0.86392,               0.006436,               0.006436,               0.006436
                     38,                0.73257,                0.39017,                0.87817,                0.99314,                0.99387,                0.99489,                0.83858,                0.68601,                0.34768,                0.88405,               0.006337,               0.006337,               0.006337
                     39,                0.74381,                0.37834,                0.87034,                0.99171,                0.99438,                0.99489,                0.82997,                0.71598,                 0.3286,                0.89353,               0.006238,               0.006238,               0.006238
